,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
7187,279 Balestier Road,Balestier Point,1988,1632 sqft,2,3,"S$ 1,800,000 ","S$ 1,102.94 psf",Freehold,Apartment,,
7188,Parry Terrace,**Fully Renovated Corner Terrace for Sale in Parry Terrace,1985,"3800 sqft, 2873 sqft (land)",3,4,"S$ 3,900,000 ","S$ 1,357.47 psf",999-year Leasehold,Corner Terrace,1.3666237463,103.8783165249
7189,3 Central Boulevard,Marina Bay Suites,2014,8515 sqft,6,5,"S$ 35,000,000 ","S$ 4,110.39 psf",99-year Leasehold,Apartment,1.280349,103.852143
7190,1 Jurong Lake Link,Lakeville,2018,969 sqft,2,3,"S$ 1,450,000 ","S$ 1,496.39 psf",99-year Leasehold,Condominium,1.345986,103.725378
7191,2C Upper Boon Keng Road,2C Upper Boon Keng Road,2006,968 sqft,2,3,"S$ 675,000 ",S$ 697.31 psf,99-year Leasehold,HDB Apartment,1.313127,103.871736
7192,369 Sembawang Road,Sembawang Cottage,1998,1376 sqft,3,3,"S$ 1,050,000 ",S$ 763.08 psf,Freehold,Apartment,1.44794,103.81891
7193,Jalan Pergam,"NEW LIST! ! FH 2. 5sty Semi-D @ Jalan Pergam, Demak, Kuang, Segam, Pelatok, Meragi",2006,"4500 sqft, 3550 sqft (land)",5,5,"S$ 4,290,000 ","S$ 1,208.45 psf",Freehold,Semi-Detached House,1.3445380381,103.9615134134
7194,671B Jurong West Street 65,671B Jurong West Street 65,2000,1346 sqft,2,3,"S$ 558,000 ",S$ 414.56 psf,99-year Leasehold,HDB Apartment,1.343961,103.701897
7195,13 Cove Drive,Marina Collection,2011,3412 sqft,4,4,"S$ 6,390,000 ","S$ 1,872.80 psf",99-year Leasehold,Condominium,,
7196,61 Jurong West Central 3,The Centris,2009,1238 sqft,3,3,"S$ 1,388,888 ","S$ 1,121.88 psf",99-year Leasehold,Apartment,1.34124,103.70798
7197,19 Flora Road,Avila Gardens,1995,1301 sqft,2,3,"S$ 1,250,000 ",S$ 960.80 psf,Freehold,Condominium,1.360125,103.9656555
7198,34 Flora Drive,Palm Isles,2015,990 sqft,2,3,"S$ 938,000 ",S$ 947.47 psf,99-year Leasehold,Condominium,1.356507,103.964571
7199,627 Pasir Ris Drive 3,627 Pasir Ris Drive 3,1993,1313 sqft,2,3,"S$ 525,000 ",S$ 399.85 psf,99-year Leasehold,HDB Apartment,1.3796279999999999,103.9405815
7200,138B Yuan Ching Road,Lake Vista @ Yuan Ching,2014,980 sqft,2,3,"S$ 678,000 ",S$ 691.84 psf,99-year Leasehold,HDB Apartment,1.328418,103.7243025
7201,51 Tampines Street 86,The Tapestry,99-year Leasehold,603 sqft,1,2,"S$ 738,000 ","S$ 1,223.88 psf",Condominium,New Project: 2021,1.3533607216,103.9294014901
7202,11 Simei Street 4,Simei Green Condo,1999,1249 sqft,2,3,"S$ 945,000 ",S$ 756.61 psf,99-year Leasehold,Condominium,1.340766,103.957632
7203,5 Mount Emily Road,Parc Emily,2008,1227 sqft,2,2,"S$ 2,188,888 ","S$ 1,783.93 psf",Freehold,Condominium,1.304325,103.8487815
7204,69 Pasir Ris Grove,Livia,2011,1744 sqft,3,3,"S$ 1,880,000 ","S$ 1,077.98 psf",99-year Leasehold,Condominium,1.372626,103.942809
7205,111 Clementi Street 13,111 Clementi Street 13,1983,1733 sqft,3,4,"S$ 899,900 ",S$ 519.27 psf,99-year Leasehold,HDB Apartment,1.323207,103.7711295
7206,12 Keppel Bay Drive,Caribbean at Keppel Bay,2004,2580 sqft,3,4,"S$ 3,100,000 ","S$ 1,201.55 psf",99-year Leasehold,Condominium,1.2665250000000001,103.816566
7207,65 Cairnhill Road,The Ritz-carlton Residences,2013,2831 sqft,4,4,"S$ 10,900,000 ","S$ 3,850.23 psf",Freehold,Condominium,1.3080509999999999,103.836168
7208,50 Lorong M Telok Kurau,The Montage,2010,1798 sqft,4,3,"S$ 2,090,000 ","S$ 1,162.40 psf",Freehold,Apartment,,
7209,,The Gardens At Gerald,2007,3336 sqft,4,5,"S$ 2,380,000 ",S$ 713.43 psf,999-year Leasehold,Cluster House,,
7210,160 Haig Road,Haig Court,2004,1453 sqft,3,3,"S$ 2,350,000 ","S$ 1,617.34 psf",Freehold,Condominium,1.3063500000000001,103.897782
7211,9 Rivervale Crescent,Rivervale Crest,2003,947 sqft,2,2,"S$ 780,000 ",S$ 823.65 psf,99-year Leasehold,Apartment,1.39176,103.904262
7212,13 Bedok Reservoir View,Aquarius By The Park,2000,1227 sqft,3,3,"S$ 1,170,000 ",S$ 953.55 psf,99-year Leasehold,Condominium,1.34261,103.92539
7213,2 Rifle Range Road,Mayfair Modern,99-year Leasehold,689 sqft,2,2,"S$ 1,417,000 ","S$ 2,056.60 psf",Condominium,New Project: 2024,1.337454,103.7814435
7214,965 Upper Changi Road North,Parc Komo,Freehold,1808 sqft,4,5,"S$ 2,558,000 ","S$ 1,414.82 psf",Condominium,New Project: 2026,1.3604669999999999,103.970106
7215,2 Jalan Lempeng,Parc Clematis,99-year Leasehold,689 sqft,1,2,"S$ 1,046,000 ","S$ 1,518.14 psf",Apartment,New Project: 2023,1.3172760000000001,103.7598255
7216,25 Tampines Central 7,The Tampines Trilliant,2015,872 sqft,2,3,"S$ 1,120,000 ","S$ 1,284.40 psf",99-year Leasehold,Executive Condominium,1.35026,103.93597
7217,38 Handy Road,Suites @ Orchard,2015,1571 sqft,3,3,"S$ 3,120,000 ","S$ 1,986.00 psf",99-year Leasehold,Condominium,1.300419,103.8459555
7218,21 Peck Hay Road,Cityvista Residences,2011,2142 sqft,3,3,"S$ 4,500,000 ","S$ 2,100.84 psf",Freehold,Apartment,1.309248,103.8377475
7219,280 Ocean Drive,The Coast @ Sentosa Cove,2010,2357 sqft,4,4,"S$ 4,300,000 ","S$ 1,824.35 psf",99-year Leasehold,Condominium,1.28626,103.84244
7220,261A Punggol Way,261A Punggol Way,2014,1001 sqft,2,3,"S$ 450,000 ",S$ 449.55 psf,99-year Leasehold,HDB Apartment,1.405971,103.8968055
7221,Stirling Road,Stirling Road,1968,1410 sqft,2,3,"S$ 980,000 ",S$ 695.04 psf,99-year Leasehold,Terraced House,1.2985370138,103.8018469931
7222,32 jalan mariam,Parc komo,2023,1410 sqft,3,4,"S$ 1,965,000 ","S$ 1,393.62 psf",Freehold,Apartment,1.361313,103.9701465
7223,1177  Serangoon Road,Jui Residences,Freehold,893 sqft,2,3,"S$ 1,506,600 ","S$ 1,687.12 psf",Condominium,New Project: 2022,1.35554,103.8766
7224,128 Koon Seng Road,Tivoli Grande,2014,1249 sqft,2,3,"S$ 1,350,000 ","S$ 1,080.86 psf",Freehold,Condominium,1.312497,103.9064445
7225,118 Tampines Street 11,Treasure at Tampines,99-year Leasehold,1722 sqft,3,5,"S$ 1,906,000 ","S$ 1,106.85 psf",Condominium,New Project: 2023,1.3449149999999999,103.946733
7226,519C Tampines Central 8,519C Tampines Central 8,2014,893 sqft,2,3,"S$ 700,000 ",S$ 783.87 psf,99-year Leasehold,HDB Apartment,1.35026,103.93597
7227,Ponggol seventeenth avenue,Ponggol seventeenth avenue,2020,"11600 sqft, 6160 sqft (land)",7,7,"S$ 8,500,000 ","S$ 1,379.87 psf",Freehold,Detached House,1.416078,103.9059135
7228,456 Tampines Street 42,456 Tampines Street 42,1986,1313 sqft,2,3,"S$ 558,000 ",S$ 424.98 psf,99-year Leasehold,HDB Apartment,1.35765,103.9545405
7229,215 Bedok South Avenue 3,Eco,2017,550 sqft,1,1,"S$ 755,000 ","S$ 1,372.73 psf",99-year Leasehold,Condominium,1.323801,103.945356
7230,314 Shunfu Road,Jadescape,99-year Leasehold,1012 sqft,2,3,"S$ 1,750,000 ","S$ 1,729.25 psf",Condominium,New Project: 2023,1.351764,103.8382515
7231,8 Leedon Heights,Leedon Residence,2015,2131 sqft,4,3,"S$ 5,400,000 ","S$ 2,534.02 psf",Freehold,Condominium,1.3130549999999999,103.801662
7232,21 Tampines Central 7,The Tampines Trilliant,2015,1001 sqft,2,3,"S$ 1,280,000 ","S$ 1,278.72 psf",99-year Leasehold,Executive Condominium,1.35026,103.93597
7233,392 Tampines Avenue 7,392 Tampines Avenue 7,1993,1302 sqft,2,3,"S$ 530,000 ",S$ 407.07 psf,99-year Leasehold,HDB Apartment,1.3551929999999999,103.9574745
7234,63 Paterson Road,The Paterson,2004,1313 sqft,3,2,"S$ 3,380,000 ","S$ 2,574.26 psf",Freehold,Condominium,1.300437,103.8306735
7235,,Lorong N Telok Kurau,2020,"8886 sqft, 4528 sqft (land)",8,6,"S$ 7,500,000 ","S$ 1,656.36 psf",Freehold,Semi-Detached House,,
7236,183 Edgefield Plains,183 Edgefield Plains,2002,1377 sqft,2,3,"S$ 612,000 ",S$ 444.44 psf,99-year Leasehold,HDB Apartment,1.39545,103.90626
7237,956 Hougang Street 91,956 Hougang Street 91,1997,1248 sqft,2,3,"S$ 498,000 ",S$ 399.04 psf,99-year Leasehold,HDB Apartment,1.376631,103.878801
7238,Bedok Walk,Jin Ding Garden,1985,"2500 sqft, 2772 sqft (land)",3,5,"S$ 2,750,000 ",S$ 992.06 psf,Freehold,Terraced House,1.3307733054,103.9469423779
7239,Lorong Lew Lian,Forest Woods,99-year Leasehold,1044 sqft,2,3,"S$ 1,683,000 ","S$ 1,612.07 psf",Condominium,New Project: 2021,1.34993,103.87584
7240,610 Choa Chu Kang Street 62,610 Choa Chu Kang Street 62,1994,1420 sqft,2,4,"S$ 460,000 ",S$ 323.94 psf,99-year Leasehold,HDB Apartment,1.399428,103.7437875
7241,407A Fernvale Road,407A Fernvale Road,2003,1184 sqft,2,3,"S$ 458,000 ",S$ 386.82 psf,99-year Leasehold,HDB Apartment,1.388268,103.87527299999999
7242,21 Fernvale Road,High Park Residences,99-year Leasehold,571 sqft,1,2,"S$ 760,000 ","S$ 1,331.00 psf",Apartment,New Project: 2019,1.3964400000000001,103.87525049999999
7243,281 Toh Guan Road,281 Toh Guan Road,1997,1302 sqft,2,3,"S$ 519,000 ",S$ 398.62 psf,99-year Leasehold,HDB Apartment,1.339893,103.7464155
7244,Jalan Eunos,Euhabitat,2016,538 sqft,1,1,"S$ 700,000 ","S$ 1,301.12 psf",99-year Leasehold,Condominium,1.32084,103.8998
7245,260A Punggol Way,260A Punggol Way,2014,1216 sqft,2,3,"S$ 568,000 ",S$ 467.11 psf,99-year Leasehold,HDB Apartment,1.404801,103.8966165
7246,529 Hougang Avenue 6,529 Hougang Avenue 6,1986,1119 sqft,2,3,"S$ 485,000 ",S$ 433.42 psf,99-year Leasehold,HDB Apartment,1.37547,103.8907305
7247,266C Punggol Way,266C Punggol Way,2014,998 sqft,3,3,"S$ 418,000 ",S$ 418.84 psf,99-year Leasehold,HDB Apartment,1.405017,103.89771
7248,208 Yio Chu Kang Road,Parkwood Residences,99-year Leasehold,1313 sqft,3,4,"S$ 1,736,500 ","S$ 1,322.54 psf",Condominium,New Project: 2026,1.3879700000000001,103.86879
7249,132 Geylang East Avenue 1,132 Geylang East Avenue 1,1986,1572 sqft,3,4,"S$ 750,000 ",S$ 477.10 psf,99-year Leasehold,HDB Apartment,1.316349,103.8859425
7250,296 Punggol Central,296 Punggol Central,2002,1184 sqft,2,3,"S$ 499,000 ",S$ 421.45 psf,99-year Leasehold,HDB Apartment,1.4100300000000001,103.90594
7251,524B Pasir Ris Street 51,524B Pasir Ris Street 51,2014,1001 sqft,2,3,"S$ 518,000 ",S$ 517.48 psf,99-year Leasehold,HDB Apartment,1.370934,103.947561
7252,21B Simei Street 4,Double Bay Residences,2012,936 sqft,2,2,"S$ 1,050,000 ","S$ 1,121.79 psf",99-year Leasehold,Condominium,1.339758,103.9568085
7253,14 Amber Gardens,Amber Park,Freehold,678 sqft,2,2,"S$ 1,598,000 ","S$ 2,356.93 psf",Condominium,New Project: 2023,1.3002479999999998,103.8995415
7254,1 Bukit Batok Street 25,Parkview Apartments,1998,1130 sqft,3,3,"S$ 850,000 ",S$ 752.21 psf,99-year Leasehold,Apartment,1.341081,103.760406
7255,14 Adis Road,Liv On Sophia,2016,538 sqft,2,2,"S$ 1,390,000 ","S$ 2,583.64 psf",Freehold,Apartment,1.301049,103.848039
7256,132 Rivervale Street,132 Rivervale Street,1998,1302 sqft,2,3,"S$ 438,000 ",S$ 336.41 psf,99-year Leasehold,HDB Apartment,1.390032,103.9035195
7257,21 Lorong 28 Geylang,Edenz Suites,2014,441 sqft,1,1,"S$ 600,000 ","S$ 1,360.54 psf",Freehold,Apartment,1.312866,103.8857535
7258,Bedok Reservoir Road,Archipelago,2015,1647 sqft,4,4,"S$ 2,300,000 ","S$ 1,396.48 psf",99-year Leasehold,Condominium,1.34261,103.92539
7259,216 Depot Road,The Interlace,2013,1001 sqft,2,2,"S$ 1,380,000 ","S$ 1,378.62 psf",99-year Leasehold,Condominium,1.28112,103.81474
7260,Ang Mo Kio Avenue 2,The Panorama,99-year Leasehold,775 sqft,2,2,"S$ 1,080,000 ","S$ 1,393.55 psf",Condominium,New Project: 2019,1.3835600000000001,103.84835
7261,112 Lorong 1 Toa Payoh,112 Lorong 1 Toa Payoh,1967,700 sqft,2,2,"S$ 365,000 ",S$ 521.43 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
7262,662 Woodlands Ring Road,662 Woodlands Ring Road,1996,1087 sqft,2,3,"S$ 360,000 ",S$ 331.19 psf,99-year Leasehold,HDB Apartment,1.435563,103.798089
7263,33 Jalan Singa,Singa Hills,2016,667 sqft,1,2,"S$ 930,000 ","S$ 1,394.30 psf",Freehold,Apartment,1.330137,103.908285
7264,23 Marina Way,Marina One Residences,2017,1001 sqft,2,2,"S$ 2,000,000 ","S$ 1,998.00 psf",99-year Leasehold,Condominium,1.277226,103.8536955
7265,396 River Valley Road,Rv Suites,2011,969 sqft,2,2,"S$ 1,650,000 ","S$ 1,702.79 psf",Freehold,Apartment,1.29328,103.82615
7266,317 Hougang Avenue 7,317 Hougang Avenue 7,1983,721 sqft,2,2,"S$ 298,000 ",S$ 413.31 psf,99-year Leasehold,HDB Apartment,1.3653,103.8964545
7267,2 Suffolk Walk,Viva,2013,3230 sqft,7,5,"S$ 6,500,000 ","S$ 2,012.38 psf",Freehold,Condominium,1.315566,103.84452
7268,306 Ang Mo Kio Avenue 1,306 Ang Mo Kio Avenue 1,1976,1323 sqft,2,3,"S$ 568,888 ",S$ 430.00 psf,99-year Leasehold,HDB Apartment,1.36422,103.84541
7269,Jasmine Road,Rebuilt Modern Bungalow near Thomson Plaza,2015,"5500 sqft, 4066 sqft (land)",7,6,"S$ 6,500,000 ","S$ 1,598.62 psf",Freehold,Detached House,1.3554264469000001,103.8299189707
7270,1 Canberra Walk,Parc Canberra,99-year Leasehold,926 sqft,2,3,"S$ 958,000 ","S$ 1,034.56 psf",Executive Condominium,New Project: 2023,1.4375,103.83022
7271,3 Sandilands Road,3 @ Sandilands,2011,764 sqft,2,2,"S$ 940,000 ","S$ 1,230.37 psf",999-year Leasehold,Apartment,1.361547,103.877919
7272,97 Meyer Road,The Meyerise,2014,1819 sqft,5,4,"S$ 3,480,000 ","S$ 1,913.14 psf",Freehold,Condominium,1.302,103.85359
7273,82 Whampoa Drive,82 Whampoa Drive,1973,710 sqft,1,2,"S$ 285,000 ",S$ 401.41 psf,99-year Leasehold,HDB Apartment,1.3238729999999999,103.856481
7274,1 Ladyhill Road,The Ladyhill,2003,3983 sqft,6,4,"S$ 8,500,000 ","S$ 2,134.07 psf",Freehold,Condominium,1.3110599706000001,103.8245700255
7275,MOULMEIN RISE,NEU AT NOVENA,2023,1302 sqft,4,4,"S$ 3,342,000 ","S$ 2,566.82 psf",Freehold,Condominium,1.3197285,103.846158
7276,Sims Drive,Sims Urban Oasis,99-year Leasehold,484 sqft,1,1,"S$ 770,000 ","S$ 1,590.91 psf",Condominium,New Project: 2020,1.3182613991,103.8793909546
7277,BEGONIA/SARACA/DEDAP,★ ALMOST BRAND NEW BUNGALOW W/ BASEMENT + SCHINDLER LIFT + POOL ★,2015,"7500 sqft, 4422 sqft (land)",6,5,"S$ 6,800,000 ","S$ 1,537.77 psf",999-year Leasehold,Bungalow House,1.3880199667,103.8628800766
7278,Andrews Terrace,Straits Gardens,2005,"4000 sqft, 2400 sqft (land)",6,5,"S$ 2,300,000 ",S$ 958.33 psf,99-year Leasehold,Terraced House,1.4584632924,103.8380613852
7279,Loyang Besar Close,The Watercrest,1999,1324 sqft,3,3,"S$ 1,150,000 ",S$ 868.58 psf,999-year Leasehold,Condominium,1.3780294586,103.9581434614
7280,340 Woodlands Avenue 1,340 Woodlands Avenue 1,1995,1905 sqft,2,5,"S$ 710,000 ",S$ 372.70 psf,99-year Leasehold,HDB Apartment,1.431162,103.781133
7281,Upper Serangoon View,Kingsford Waterbay,2018,474 sqft,1,1,"S$ 659,000 ","S$ 1,390.30 psf",99-year Leasehold,Condominium,1.3748032243,103.9030419183
7282,213 Jurong East Street 21,213 Jurong East Street 21,1982,1291 sqft,2,3,"S$ 580,000 ",S$ 449.26 psf,99-year Leasehold,HDB Apartment,1.339038,103.739886
7283,83 Flora Drive,Hedges Park Condo,2015,1184 sqft,2,3,"S$ 1,050,000 ",S$ 886.82 psf,99-year Leasehold,Condominium,1.355157,103.9678425
7284,528C Pasir Ris Street 51,528C Pasir Ris Street 51,2014,1001 sqft,2,3,"S$ 527,000 ",S$ 526.47 psf,99-year Leasehold,HDB Apartment,1.370988,103.948218
7285,6 Gateway Drive,J Gateway,2017,893 sqft,2,3,"S$ 1,480,000 ","S$ 1,657.33 psf",99-year Leasehold,Condominium,1.336284,103.74174
7286,11 Farrer Park Road,11 Farrer Park Road,2002,1173 sqft,2,3,"S$ 798,000 ",S$ 680.31 psf,99-year Leasehold,HDB Apartment,1.312155,103.852008
7287,93 Yishun Street 81,Orchid Park Condo,1994,1152 sqft,3,3,"S$ 779,000 ",S$ 676.22 psf,99-year Leasehold,Condominium,1.412352,103.83507
7288,347B Yishun Avenue 11,347B Yishun Avenue 11,2013,721 sqft,2,2,"S$ 400,000 ",S$ 554.79 psf,99-year Leasehold,HDB Apartment,1.427499,103.842378
7289,22 Sumang Walk,Piermont Grand,99-year Leasehold,1356 sqft,3,4,"S$ 1,367,280 ","S$ 1,008.32 psf",Executive Condominium,New Project: 2023,1.4051369366,103.894985989
7290,132 Jalan Bukit Merah,132 Jalan Bukit Merah,1975,635 sqft,2,2,"S$ 268,000 ",S$ 422.05 psf,99-year Leasehold,HDB Apartment,1.2828,103.81786
7291,686B Jurong West Central 1,686B Jurong West Central 1,1999,1421 sqft,2,4,"S$ 618,000 ",S$ 434.90 psf,99-year Leasehold,HDB Apartment,1.33949,103.70739
7292,1 Canberra Walk,Parc Canberra,99-year Leasehold,818 sqft,2,3,"S$ 817,000 ",S$ 998.78 psf,Executive Condominium,New Project: 2023,1.4375,103.83022
7293,3 South Buona Vista Road,Viva Vista,2014,377 sqft,1,1,"S$ 625,000 ","S$ 1,657.82 psf",Freehold,Condominium,1.2798,103.7859075
7294,"7 Straits View, East Tower",Marina One,2017,710 sqft,1,1,"S$ 1,694,880 ","S$ 2,387.15 psf",Unknown Tenure,Condominium,1.27791,103.8528495
7295,261C Sengkang East Way,261C Sengkang East Way,1999,915 sqft,2,3,"S$ 458,888 ",S$ 501.52 psf,99-year Leasehold,HDB Apartment,1.393326,103.894893
7296,1 Pearl Bank,One Pearl Bank,99-year Leasehold,700 sqft,1,2,"S$ 1,613,000 ","S$ 2,304.29 psf",Condominium,New Project: 2023,1.2831000000000001,103.84025
7297,232 Commonwealth Avenue,Commonwealth Towers,2017,463 sqft,1,1,"S$ 950,000 ","S$ 2,051.84 psf",99-year Leasehold,Condominium,1.29546,103.8065175
7298,1 Shenton Way,One Shenton,2011,807 sqft,1,1,"S$ 1,615,000 ","S$ 2,001.24 psf",99-year Leasehold,Condominium,1.279278,103.850541
7299,356 Alexandra Road,Alexis,2014,753 sqft,1,1,"S$ 1,100,000 ","S$ 1,460.82 psf",Freehold,Condominium,1.29084,103.82078
7300,344 Ubi Avenue 1,344 Ubi Avenue 1,1985,904 sqft,2,3,"S$ 368,000 ",S$ 407.08 psf,99-year Leasehold,HDB Apartment,1.326357,103.899753
7301,38 Circuit Road,38 Circuit Road,1965,646 sqft,2,2,"S$ 238,000 ",S$ 368.42 psf,99-year Leasehold,HDB Apartment,1.32775,103.88564
7302,312A Sumang Link,312A Sumang Link,2014,990 sqft,2,3,"S$ 499,999 ",S$ 505.05 psf,99-year Leasehold,HDB Apartment,1.410822,103.9003695
7303,624 Ang Mo Kio Avenue 4,624 Ang Mo Kio Avenue 4,1980,731 sqft,2,2,"S$ 298,000 ",S$ 407.66 psf,99-year Leasehold,HDB Apartment,1.381554,103.8400065
7304,220 Petir Road,220 Petir Road,1987,1109 sqft,2,3,"S$ 360,000 ",S$ 324.62 psf,99-year Leasehold,HDB Apartment,1.374525,103.7728665
7305,12 Fourth Avenue,Fourth Avenue Residences,99-year Leasehold,710 sqft,2,2,"S$ 1,628,000 ","S$ 2,292.96 psf",Condominium,New Project: 2022,1.3289226072,103.797050016
7306,64 Woodlands Drive 16,La Casa,2008,1259 sqft,3,4,"S$ 930,000 ",S$ 738.68 psf,99-year Leasehold,Condominium,1.432701,103.7974365
7307,31 31 fernvale Road,High  Park Residences 3 BR. PH For Sale,2019,1130 sqft,2,3,"S$ 1,220,000 ","S$ 1,079.65 psf",99-year Leasehold,Condominium,1.395549,103.875075
7308,2 Lincoln Road,Park Infinia @ Wee Nam,2008,1464 sqft,3,4,"S$ 3,200,000 ","S$ 2,185.79 psf",Freehold,Condominium,1.313928,103.8431025
7309,173B Punggol Field,173B Punggol Field,2001,969 sqft,2,3,"S$ 370,000 ",S$ 381.84 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
7310,Fidelio street,Fidelio street terrace,2020,"5819 sqft, 2036 sqft (land)",6,6,"S$ 4,500,000 ","S$ 2,210.22 psf",Freehold,Terraced House,,
7311,,⭐ Cheapest Brand New Semi D with ID in Serangoon Gardens ⭐,2020,"3900 sqft, 2150 sqft (land)",6,4,"S$ 3,899,999 ","S$ 1,813.95 psf",999-year Leasehold,Semi-Detached House,,
7312,286 Bishan Street 24,286 Bishan Street 24,1991,1162 sqft,2,3,"S$ 668,000 ",S$ 574.87 psf,99-year Leasehold,HDB Apartment,1.358442,103.8438855
7313,520 Balestier Road,Viio @ Balestier,2017,560 sqft,1,2,"S$ 1,090,000 ","S$ 1,946.43 psf",Freehold,Apartment,,
7314,1 Jalan Kembangan,The Trumps,2005,2280 sqft,3,3,"S$ 1,948,888 ",S$ 854.78 psf,99-year Leasehold,Condominium,1.3222800000000001,103.91135
7315,3 Jalan Anak Bukit,Sherwood Towers,1980,1561 sqft,2,2,"S$ 1,280,000 ",S$ 819.99 psf,99-year Leasehold,Apartment,1.3423302075,103.7783829616
7316,Geylang Lorong 34,Brand new 3. 5 Storey Freehold Inter-Terrace with 6 Ensuites,2020,"5000 sqft, 1655 sqft (land)",7,6,"S$ 3,750,000 ","S$ 2,265.86 psf",Freehold,Terraced House,1.3129214435,103.911021329
7317,81 Amber Road,The Shore Residences,2013,732 sqft,1,1,"S$ 1,095,000 ","S$ 1,495.90 psf",103-year Leasehold,Condominium,1.302804,103.9009905
7318,19 Mattar Road,The Antares,2022,452 sqft,1,1,"S$ 789,000 ","S$ 1,745.58 psf",99-year Leasehold,Condominium,1.3251015004,103.883292819
7319,1 Keppel Bay View,Reflections @ Keppel Bay,2013,1486 sqft,2,3,"S$ 2,200,000 ","S$ 1,480.48 psf",99-year Leasehold,Condominium,1.268163,103.814379
7320,450 Upper Changi Road,Palmwoods,2000,1033 sqft,2,2,"S$ 830,000 ",S$ 803.48 psf,99-year Leasehold,Condominium,1.33236,103.94614
7321,528B Pasir Ris Street 51,528B Pasir Ris Street 51,2012,1216 sqft,2,3,"S$ 685,000 ",S$ 563.32 psf,99-year Leasehold,HDB Apartment,1.370619,103.948164
7322,94 Havelock Road,94 Havelock Road,1982,1270 sqft,2,3,"S$ 750,000 ",S$ 590.55 psf,99-year Leasehold,HDB Apartment,1.288215,103.833234
7323,135 Serangoon Avenue 3,Chiltern Park,1995,1571 sqft,4,3,"S$ 1,590,000 ","S$ 1,012.09 psf",99-year Leasehold,Condominium,1.3525200000000002,103.87036
7324,5 Shenton Way,V On Shenton,2017,1356 sqft,3,3,"S$ 3,090,000 ","S$ 2,278.76 psf",99-year Leasehold,Condominium,1.2776939999999999,103.849551
7325,8 River Valley Close,The Avenir,Freehold,2411 sqft,4,4,"S$ 7,304,000 ","S$ 3,029.45 psf",Condominium,New Project: 2023,1.294794,103.8367575
7326,665C Punggol Drive,665C Punggol Drive,2015,721 sqft,2,2,"S$ 400,000 ",S$ 554.79 psf,99-year Leasehold,HDB Apartment,1.40246,103.90686
7327,3 Meyer Place,Meyer Residence,2009,1065 sqft,3,3,"S$ 1,900,000 ","S$ 1,784.04 psf",Freehold,Apartment,1.298682,103.8861945
7328,1 Fraser Street,Duo Residences,2017,818 sqft,2,2,"S$ 2,200,000 ","S$ 2,689.49 psf",99-year Leasehold,Apartment,1.299159,103.857858
7329,523 Canberra Drive,Canberra Residences,2015,1399 sqft,2,3,"S$ 1,230,000 ",S$ 879.20 psf,99-year Leasehold,Condominium,1.444968,103.8249765
7330,MIDDLE ROAD,THE M,2024,904 sqft,2,3,"S$ 2,000,000 ","S$ 2,212.39 psf",99-year Leasehold,Condominium,1.2994527049,103.852861492
7331,182 Depot Road,The Interlace,2013,1281 sqft,2,2,"S$ 1,788,000 ","S$ 1,395.78 psf",99-year Leasehold,Condominium,1.28112,103.81474
7332,10 Alexandra View,Artra,99-year Leasehold,786 sqft,2,2,"S$ 1,680,300 ","S$ 2,137.79 psf",Condominium,New Project: 2021,1.290527695,103.8165717508
7333,838 Tampines Street 82,838 Tampines Street 82,1984,904 sqft,2,3,"S$ 380,000 ",S$ 420.35 psf,99-year Leasehold,HDB Apartment,1.350855,103.9353795
7334,227 Serangoon Avenue 4,227 Serangoon Avenue 4,1984,990 sqft,2,3,"S$ 470,000 ",S$ 474.75 psf,99-year Leasehold,HDB Apartment,1.356471,103.8711285
7335,413 Pasir Ris Drive 6,413 Pasir Ris Drive 6,1989,1500 sqft,2,4,"S$ 715,000 ",S$ 476.67 psf,99-year Leasehold,HDB Apartment,1.37268,103.955508
7336,186 Boon Lay Avenue,186 Boon Lay Avenue,1975,731 sqft,2,2,"S$ 245,000 ",S$ 335.16 psf,99-year Leasehold,HDB Apartment,1.345671,103.71132
7337,49 Jervois Road,Jervois Regency,2003,1270 sqft,3,3,"S$ 2,088,000 ","S$ 1,644.09 psf",Freehold,Apartment,1.2943259999999999,103.8220245
